# VERSION=1.0
# NAME=Protein levels for normal Liver
# DESCRIPTION= data from the Human Protein Atlas - "Normal tissue data". Protein levels are categorized in "High", "Medium", "Low", or "Not detected". It was included all levels of confidence. Color was categorized as -1 (dark red) for "High", -0.66 (medium red) for "Medium", -0.33 (light red) for "Low", and 0 (white) for "Not detected". Only hepatocytes annotated genes were used. 13453 genes included. 22/06/2022.
# CONTACT= ONTOX UL team. lc.ladeira@uliege.be
# REFERENCE= Karlsson, Max, Cheng Zhang, Loren Méar, Wen Zhong, Andreas Digre, Borbala Katona, Evelina Sjöstedt, et al. 2021. “A Single–Cell Type Transcriptomics Map of Human Tissues.” Science Advances 7 (31): 1–10. https://doi.org/10.1126/sciadv.abh2169.
name	value	
ERCC3	-1
CDC42EP3	-1
CWC22	-1
SPICE1	-1
DNAJB14	-1
ATRIP	-1
ABHD18	-1
DUSP7	-1
TMEM184C	-1
MOCS2	-1
ERAP1	-1
RICTOR	-1
UQCRQ	-1
SFXN1	-1
FZD6	-1
METTL27	-1
ATP7A	-1
ZCCHC24	-1
ZNF22	-1
ATP5F1C	-1
PIP4P1	-1
PACSIN3	-1
GPR176	-1
RPUSD2	-1
HPS6	-1
SENP8	-1
DCHS1	-1
RIC3	-1
NNMT	-1
AKTIP	-1
CRK	-1
ACAA2	-1
LENG8	-1
TMEM88	-1
H3-4	-1
GLYCTK	-1
TAP1	-1
TMUB2	-1
LDLRAD4	-1
DNAJC21	-1
GSTM4	-1
LRRC28	-1
ZNF608	-1
HSPBAP1	-1
PRELID1	-1
THBS3	-1
SLC50A1	-1
TM2D2	-1
PCBP1	-1
INO80E	-1
GUSB	-1
IFFO2	-1
B3GNT2	-1
GSTA4	-1
TSNARE1	-1
C1GALT1C1	-1
TMEM126A	-1
PPIH	-1
NME6	-1
STARD5	-1
CES3	-1
MYD88	-1
LRRN3	-1
COMMD1	-1
MAP3K11	-1
SNX33	-1
RCE1	-1
CCS	-1
CTSF	-1
EIF3F	-1
LIPT2	-1
ZDHHC21	-1
RPS6KA3	-1
MAN1B1	-1
C18orf32	-1
TMEM94	-1
BET1L	-1
ZFAND2A	-1
SLC25A20	-1
SPTY2D1	-1
ZNF594	-1
ZNF443	-1
ZNF707	-1
ACBD4	-1
C5orf24	-1
GET1	-1
FAM89A	-1
ADI1	-1
RBM10	-1
UTP11	-1
OLFML1	-1
PGP	-1
EFNA5	-1
TOP1MT	-1
JAG2	-1
SEMA4B	-1
SIGIRR	-1
PCGF3	-1
BRWD1	-1
KLHDC8B	-1
CYP2R1	-1
CYP4F3	-1
ZFP91	-1
LYRM7	-1
SEMA4D	-1
ZNF559	-1
RBM34	-1
TMEM201	-1
LIN54	-1
ZNF799	-1
TRAPPC4	-1
FUT11	-1
PCBP2	-1
PSMD12	-1
HNRNPAB	-1
PHF2	-1
ADH5	-1
ZNF84	-1
ZNF544	-1
TMEM229B	-1
HMGN5	-1
HELZ	-1
ZXDB	-1
TLK1	-1
MDM4	-1
MTOR	-1
GGTA1	-1
TCEA3	-1
ZBTB12	-1
NEU1	-1
ASPDH	-1
TRIM27	-1
SLC35B4	-1
MT1A	-1
LBH	-1
REPIN1	-1
CBWD6	-1
FASTKD5	-1
C6orf226	-1
APOL6	-1
PLEKHM1	-1
RPS18	-1
ZSCAN31	-1
TTC4	-1
PRODH2	-1
ALG11	-1
AC011462.1	-1
ISY1-RAB43	-1
TIMM23	-1
PRICKLE4	-1
ACACA	-1
AC116366.1	-1
LAP3	-1
SLC25A13	-1
CROT	-1
ABCB4	-1
FMO3	-1
AASS	-1
MGST1	-1
ZNF207	-1
UQCRC1	-1
CPS1	-1
ABCC2	-1
HSD17B6	-1
BCLAF1	-1
OTC	-1
ARHGAP6	-1
AKR7A2	-1
IL17RB	-1
MPC1	-1
ACAA1	-1
ISOC2	-1
CTSA	-1
MAOB	-1
SDHA	-1
ABCB11	-1
ACAT1	-1
PGM1	-1
SLC27A5	-1
HAL	-1
GCKR	-1
MGST2	-1
B4GALT1	-1
FTL	-1
MAVS	-1
RPLP0	-1
PEBP1	-1
ERP29	-1
SF3A1	-1
CYP2D6	-1
ARSA	-1
PYGL	-1
PLEK2	-1
HNF4A	-1
HAO1	-1
LPIN2	-1
PGRMC1	-1
USP10	-1
SALL1	-1
QPRT	-1
FAH	-1
DECR1	-1
SH2D4A	-1
HNRNPUL1	-1
SULT2A1	-1
GCDH	-1
PON3	-1
HIBADH	-1
TFR2	-1
CHCHD3	-1
SLC1A1	-1
PTGR1	-1
ERLIN1	-1
ACBD5	-1
LUC7L3	-1
NDUFC1	-1
UGDH	-1
SC5D	-1
DAO	-1
ATP5F1B	-1
KRT18	-1
SLCO1B3	-1
ALDH5A1	-1
ACOT13	-1
MAN2A1	-1
GHR	-1
EHHADH	-1
HGD	-1
PCCB	-1
BBX	-1
GBE1	-1
FAHD2A	-1
REEP6	-1
PECR	-1
GGCX	-1
KYNU	-1
SFPQ	-1
CTH	-1
ACADM	-1
SDHB	-1
HMGCL	-1
ABCD3	-1
HSD11B1	-1
MTARC2	-1
HMGN3	-1
ARG1	-1
RAD23B	-1
HSDL2	-1
ALDH6A1	-1
EIF2B2	-1
SCPEP1	-1
ECHDC2	-1
CAT	-1
ACADS	-1
EBPL	-1
DNPEP	-1
GOT2	-1
CLYBL	-1
NDUFA1	-1
RRBP1	-1
TRAP1	-1
ECHS1	-1
POR	-1
TST	-1
IVD	-1
CYP2E1	-1
ASS1	-1
RGN	-1
G6PC	-1
PRKAB2	-1
MCCC2	-1
ENOSF1	-1
DMGDH	-1
BHMT2	-1
HSD17B4	-1
HMGCS2	-1
ECHDC3	-1
TACO1	-1
ALDOB	-1
ALDH1B1	-1
BPHL	-1
BUD13	-1
FXYD6	-1
GCHFR	-1
KHK	-1
CYP2C9	-1
CYP2C8	-1
AOX1	-1
HADH	-1
RBP5	-1
RDH16	-1
SORD	-1
ZSCAN29	-1
CYP1A2	-1
GLYR1	-1
TCF25	-1
ASGR1	-1
SOD1	-1
TOR1AIP1	-1
SELENBP1	-1
PKLR	-1
SCCPDH	-1
LBR	-1
EPHX1	-1
EML4	-1
ALDH1L1	-1
BHMT	-1
MMUT	-1
MDH2	-1
NONO	-1
NSDHL	-1
RPL10	-1
AK3	-1
SIGMAR1	-1
GSTO1	-1
GLYAT	-1
ACAD8	-1
AKR1C2	-1
ACSL1	-1
ATP5F1A	-1
TGOLN2	-1
NADK2	-1
AK9	-1
RNF111	-1
HPD	-1
ZC3H18	-1
CBR1	-1
ATP13A2	-1
ALDH4A1	-1
FTCD	-1
SIK3	-1
TLCD1	-1
CYP3A4	-1
BDH1	-1
NFIA	-1
HAAO	-1
SLC2A2	-1
FABP1	-1
DACT2	-1
CTSB	-1
ALDH7A1	-1
COX6C	-1
FBP1	-1
MBL2	-1
PRDX3	-1
PCBD1	-1
TPP1	-1
CENPV	-1
BMERB1	-1
ANPEP	-1
RCCD1	-1
GPD1	-1
HDGFL2	-1
GLOD4	-1
GPT	-1
ATP5PD	-1
ECI1	-1
ACOX2	-1
ATP5ME	-1
UQCRFS1	-1
MECP2	-1
DCXR	-1
UGP2	-1
TM4SF4	-1
ALCAM	-1
GLB1	-1
METTL7B	-1
CDH2	-1
RBKS	-1
GAA	-1
GATM	-1
CYP4F11	-1
SUCLG2	-1
TTC36	-1
AGXT	-1
CES2	-1
PC	-1
GOLIM4	-1
MRPS22	-1
PCCA	-1
SHMT1	-1
ACOT4	-1
NDUFAF3	-1
GLDC	-1
GCC1	-1
DHTKD1	-1
SHMT2	-1
NPLOC4	-1
EWSR1	-1
ABAT	-1
CHEK2	-1
EIF4ENIF1	-1
KPNA4	-1
ENTPD5	-1
AKR1C1	-1
SPRY4	-1
APOD	-1
AKR1C3	-1
ACADSB	-1
SLC30A10	-1
ACSL5	-1
CYP2B6	-1
DPP4	-1
CYP2A7	-1
ADH4	-1
HIBCH	-1
HSD17B11	-1
MT-CO2	-1
ECI2	-1
MSRB1	-1
CES1	-1
ADSL	-1
ACY1	-1
HP	-1
WIZ	-1
MATR3	-1
NSUN2	-1
MTREX	-1
THRAP3	-1
ZFR	-1
CCAR1	-1
OGFR	-1
ACSM2B	-1
NUCKS1	-1
BCS1L	-1
SIRT6	-1
ANAPC5	-1
HNRNPM	-1
TOMM22	-1
HDAC10	-1
CTSZ	-1
DIDO1	-1
RBBP7	-1
PQBP1	-1
HTATSF1	-1
RBL2	-1
ECH1	-1
HNRNPL	-1
SNRNP70	-1
TIMM44	-1
ETFB	-1
MAP3K8	-1
GAR1	-1
DCPS	-1
CPSF6	-1
CMAS	-1
PAK1IP1	-1
SRSF3	-1
VEGFA	-1
HSPA9	-1
LMNB1	-1
SUB1	-1
NR3C1	-1
BNIP1	-1
ACAP2	-1
NCL	-1
NRBP1	-1
HSPE1	-1
SCP2	-1
SRSF4	-1
PRDX6	-1
CTSD	-1
DLST	-1
CRY2	-1
TBC1D15	-1
RASL11A	-1
SNAI1	-1
H2BC11	-1
COX6B1	-1
TIMM8A	-1
RPL36	-1
ATP5IF1	-1
DKC1	-1
PPT1	-1
PEX11B	-1
DHX30	-1
CRP	-1
IER3IP1	-1
RPS15A	-1
FBH1	-1
ARGLU1	-1
APC	-1
MDM2	-1
COX5B	-1
SRSF1	-1
TRA2B	-1
PSMB7	-1
RABEPK	-1
DERL1	-1
NARS2	-1
NDUFAF1	-1
RBP4	-1
SSB	-1
PPIG	-1
COX17	-1
SCARB2	-1
NDUFA9	-1
MMAB	-1
GCSH	-1
GALNS	-1
PTRH2	-1
BRD4	-1
PSMB6	-1
PEX14	-1
ZNF593	-1
RFX5	-1
RPS27A	-1
HSPD1	-1
AMT	-1
CBR4	-1
TAF1	-1
ERLIN2	-1
MRRF	-1
TCF7L2	-1
UBC	-1
MAT1A	-1
HAUS1	-1
HNRNPDL	-1
RASSF3	-1
ATP5PF	-1
SUPV3L1	-1
H2BC5	-1
GATD3A	-1
LSS	-1
LMNA	-1
SAP30BP	-1
NXF1	-1
DHRS3	-1
RBBP4	-1
FUBP1	-1
SLBP	-1
H2AZ1	-1
CCDC51	-1
FXN	-1
NDUFB6	-1
PMPCA	-1
CYP2C19	-1
TAF10	-1
MRPL16	-1
PHB	-1
SRRM2	-1
CTNNB1	-1
SF1	-1
H1-4	-1
NDUFS5	-1
RAMAC	-1
UBB	-1
MGMT	-1
NDUFA3	-1
RSL1D1	-1
ATPAF2	-1
PARP14	-1
H2BC4	-1
NPM1	-1
COPG1	-1
SLC25A10	-1
NDUFB1	-1
ALYREF	-1
MACC1	-1
ACSM2A	-1
H2BC21	-1
NDUFA12	-1
H2BC13	-1
LAMP1	-1
NDUFA13	-1
CYP4F2	-1
NF2	-1
H1-2	-1
PLSCR3	-1
H1-0	-1
HMGB1	-1
NPIPB15	-1
ADH1B	-1
H2BU1	-1
GSTK1	-1
PSAP	-1
CYP2A13	-1
H2BC12	-1
GK	-1
HMGN1	-1
UBA52	-1
H2BC15	-1
H2BS1	-1
TMEM250	-1
ISY1	-1
GSTA1	-1
GSTA2	-1
BCKDHA	-1
ADH1C	-1
AC005833.1	-1
CYP2A6	-1
C17orf49	-1
HPR	-1
H2BC14	-1
H2BC8	-1
H2BC6	-1
H2BC17	-1
H2BC9	-1
TUBGCP5	-1
H2BC3	-1
H2AC8	-1
H2BC7	-1
H2BC10	-1
H4C1	-1
MATR3	-1
KDM7A	-1
TSPAN32	-1
MTFR1	-1
ROGDI	-1
IFT80	-1
SLC25A43	-1
HOXA9	-1
OSTM1	-1
CPNE3	-1
ZFAND6	-1
OAS1	-1
YPEL3	-1
GPATCH2	-1
ECHDC1	-1
RAB18	-1
YPEL1	-1
CGRRF1	-1
PRELID3B	-1
RASSF2	-1
PIGU	-1
ZNF629	-1
ESRP2	-1
CAPN15	-1
CLUAP1	-1
USP31	-1
UBE2W	-1
NIPAL2	-1
PLPPR2	-1
LSM5	-1
ZNF862	-1
PRUNE2	-1
GOSR2	-1
ZPR1	-1
ARHGEF17	-1
ITFG2	-1
CREBL2	-1
TMCO6	-1
PDE4D	-1
PRKAR2A	-1
HEMK1	-1
ASB3	-1
SPR	-1
RO60	-1
KCNJ8	-1
ZNF639	-1
GPSM2	-1
NDUFAF4	-1
TTPAL	-1
BTN2A2	-1
ST3GAL3	-1
PCNX4	-1
MRPS12	-1
DLL4	-1
STARD8	-1
LSM4	-1
HAUS8	-1
FAAP24	-1
SCLY	-1
HSPA12B	-1
BTBD3	-1
ZMYM5	-1
EDEM1	-1
SPIRE1	-1
ISCA1	-1
GLS2	-1
REV1	-1
HLX	-1
USP20	-1
CTSV	-1
RNF144B	-1
KIF23	-1
METTL5	-1
AMDHD1	-1
RAB20	-1
FITM1	-1
DCAF5	-1
MCTP2	-1
EFL1	-1
C17orf80	-1
SLC39A3	-1
DUS3L	-1
PGGHG	-1
HMCN1	-1
SPOPL	-1
COPS7B	-1
BOC	-1
CDKN2B	-1
PDSS1	-1
NRBF2	-1
TRPT1	-1
FAM160B1	-1
EPG5	-1
MPPE1	-1
ZNF18	-1
NAT2	-1
GDPD5	-1
SNRNP25	-1
SPSB3	-1
GFI1	-1
PSMD6	-1
FYCO1	-1
IFT122	-1
STK17A	-1
COG5	-1
SLU7	-1
KDM1B	-1
GJB2	-1
KBTBD6	-1
BEND7	-1
IFTAP	-1
YPEL4	-1
COG7	-1
FAM110B	-1
CA5B	-1
DUS1L	-1
ZNF160	-1
ZNF274	-1
THOP1	-1
HPSE2	-1
PELI3	-1
ZNF266	-1
YPEL2	-1
FAM131A	-1
SLC38A9	-1
LCORL	-1
YOD1	-1
GLUD2	-1
ACSM5	-1
OAF	-1
CDNF	-1
CDK10	-1
MRPL40	-1
ARL17A	-1
ANKRD37	-1
RALGAPA2	-1
ZDHHC9	-1
TMEM120B	-1
ZNF567	-1
EPHB4	-1
NF1	-1
ZNF790	-1
ZNF649	-1
NHSL2	-1
C5orf51	-1
ARL17B	-1
CDK3	-1
AC068580.4	-1
MAP1LC3B2	-1
ZNF285	-1
AC004556.3	-1
GATD3B	-1
AC008770.4	-1
SCYL3	-0.33
SEMA3F	-0.33
ICA1	-0.33
PDK4	-0.33
UPF1	-0.33
MAP3K14	-0.33
RALA	-0.33
MARK4	-0.33
PIGQ	-0.33
CDKL5	-0.33
SYPL1	-0.33
MPND	-0.33
CRY1	-0.33
SEC62	-0.33
RPS20	-0.33
NCAPD2	-0.33
NISCH	-0.33
STAB1	-0.33
HFE	-0.33
NME1-NME2	-0.33
PPP5C	-0.33
BRCA1	-0.33
UBR7	-0.33
DNASE1L1	-0.33
RALBP1	-0.33
PHLDB1	-0.33
HGF	-0.33
ZRANB1	-0.33
SAMD4A	-0.33
GRAMD1B	-0.33
CCDC28A	-0.33
RRAGD	-0.33
PHF20	-0.33
NR1H3	-0.33
RNASET2	-0.33
AGPAT4	-0.33
MIPEP	-0.33
VRK2	-0.33
SNX1	-0.33
SLC39A9	-0.33
TFB1M	-0.33
ARHGAP31	-0.33
ALG1	-0.33
RNF19A	-0.33
MRI1	-0.33
STAU2	-0.33
LSG1	-0.33
CUL7	-0.33
CTPS2	-0.33
ATP6V1H	-0.33
FAM214A	-0.33
DTNBP1	-0.33
GOPC	-0.33
TSPAN17	-0.33
NOP16	-0.33
RRM2B	-0.33
SNX29	-0.33
FAM120A	-0.33
RCN1	-0.33
FAM160A2	-0.33
THOC3	-0.33
TTC17	-0.33
FOXN3	-0.33
ARID4B	-0.33
SDCCAG8	-0.33
RC3H2	-0.33
TMCC3	-0.33
MTA3	-0.33
RASGRF1	-0.33
POLR3E	-0.33
PARP12	-0.33
CDK17	-0.33
QSER1	-0.33
GUCY1B1	-0.33
VMP1	-0.33
RPL18	-0.33
ZNF275	-0.33
MTMR1	-0.33
CASP8	-0.33
TMEM161A	-0.33
SNX24	-0.33
HMG20B	-0.33
WDR18	-0.33
SLK	-0.33
SLC9A7	-0.33
FOXJ2	-0.33
NGEF	-0.33
THUMPD1	-0.33
TNFRSF1A	-0.33
DHX8	-0.33
COASY	-0.33
TFE3	-0.33
TBC1D25	-0.33
GRIPAP1	-0.33
ATP11A	-0.33
RASGRP2	-0.33
NUP133	-0.33
DNAJA2	-0.33
HDHD5	-0.33
ELP1	-0.33
EXOC5	-0.33
AP3M2	-0.33
RPS6KA2	-0.33
TCF3	-0.33
CYBRD1	-0.33
PRKACA	-0.33
ZFYVE26	-0.33
LNX1	-0.33
AFF4	-0.33
MARK2	-0.33
FBXW11	-0.33
NDE1	-0.33
ALPK1	-0.33
NLE1	-0.33
DHRS9	-0.33
CLNS1A	-0.33
TSG101	-0.33
ATP2A3	-0.33
DPP8	-0.33
ZNF532	-0.33
ZNF37A	-0.33
MARK3	-0.33
SART3	-0.33
PTPN23	-0.33
FMO4	-0.33
NT5C2	-0.33
DGKD	-0.33
GTF3C1	-0.33
NAALAD2	-0.33
FGFR1	-0.33
ARAF	-0.33
MCCC1	-0.33
SYNJ2	-0.33
FKBP7	-0.33
TNS1	-0.33
RAPGEF3	-0.33
OPHN1	-0.33
MOXD1	-0.33
COL5A3	-0.33
PUM3	-0.33
CPB2	-0.33
PSEN1	-0.33
AACS	-0.33
PCDHB4	-0.33
PCDHGA2	-0.33
FAM135A	-0.33
NFE2L1	-0.33
ULK2	-0.33
TNPO1	-0.33
RRAGB	-0.33
APLP2	-0.33
EPS15	-0.33
MAST2	-0.33
IPO11	-0.33
ITPKC	-0.33
HUWE1	-0.33
MTMR2	-0.33
HSD17B14	-0.33
BAX	-0.33
NLK	-0.33
PGS1	-0.33
OGFOD1	-0.33
DDX18	-0.33
C3orf18	-0.33
ATRN	-0.33
RPL6	-0.33
P2RX7	-0.33
IGBP1	-0.33
GRAMD1A	-0.33
GPATCH2L	-0.33
LTBP4	-0.33
NDUFB2	-0.33
MAEA	-0.33
IRAK3	-0.33
GNPTG	-0.33
PITPNM2	-0.33
RBM27	-0.33
DTX2	-0.33
PUS7	-0.33
RAPGEF4	-0.33
SEL1L3	-0.33
HAUS4	-0.33
RNF31	-0.33
SCFD1	-0.33
HECTD1	-0.33
TYRO3	-0.33
SNAP23	-0.33
CDC6	-0.33
EPB41L4B	-0.33
BAMBI	-0.33
TREM2	-0.33
SRPK1	-0.33
EFHC1	-0.33
ITPR3	-0.33
IFT74	-0.33
PRTFDC1	-0.33
TSPAN15	-0.33
CDC34	-0.33
LZTR1	-0.33
DERL3	-0.33
CABIN1	-0.33
RNF215	-0.33
ANKRD54	-0.33
CCDC134	-0.33
PICK1	-0.33
GTPBP1	-0.33
POLDIP3	-0.33
RHBDD3	-0.33
AP1B1	-0.33
RBFOX2	-0.33
TAB1	-0.33
PNPLA3	-0.33
FOXRED2	-0.33
EIF3D	-0.33
SLC25A17	-0.33
PRMT5	-0.33
NIN	-0.33
GALNT16	-0.33
SRSF5	-0.33
BDKRB1	-0.33
GSKIP	-0.33
PPP4R3A	-0.33
C14orf93	-0.33
PSMA6	-0.33
GMPR2	-0.33
ZMYND8	-0.33
STK4	-0.33
PTK6	-0.33
C20orf27	-0.33
FERMT1	-0.33
PLCB4	-0.33
POFUT1	-0.33
SMAD7	-0.33
RIOK3	-0.33
MOSPD1	-0.33
FMR1	-0.33
FGD1	-0.33
SYTL4	-0.33
CAB39L	-0.33
ARHGEF7	-0.33
PARP4	-0.33
MGRN1	-0.33
MAPK3	-0.33
NFAT5	-0.33
NME3	-0.33
TANGO6	-0.33
COG4	-0.33
SMPD3	-0.33
MON1B	-0.33
HCFC1R1	-0.33
MPG	-0.33
NME4	-0.33
GGA2	-0.33
STX4	-0.33
DMXL2	-0.33
EIF3E	-0.33
EMC2	-0.33
NDRG1	-0.33
ARMC1	-0.33
NCALD	-0.33
GFUS	-0.33
GSR	-0.33
KLHDC4	-0.33
RELB	-0.33
PPP1R37	-0.33
PIH1D1	-0.33
PLEKHJ1	-0.33
SGTA	-0.33
FAM32A	-0.33
PPP6R1	-0.33
ANKRD27	-0.33
RPS16	-0.33
PLD3	-0.33
YJU2	-0.33
NOP53	-0.33
RPL18A	-0.33
PDE4C	-0.33
LSR	-0.33
KXD1	-0.33
ZNF574	-0.33
NAMPT	-0.33
GSDME	-0.33
TFEC	-0.33
MET	-0.33
LFNG	-0.33
IQCE	-0.33
BUD31	-0.33
PCOLCE	-0.33
MOGAT3	-0.33
GLCCI1	-0.33
NMRK1	-0.33
MEGF9	-0.33
KANK1	-0.33
NPDC1	-0.33
MAPK8	-0.33
LZTS2	-0.33
ARHGAP21	-0.33
MTPAP	-0.33
CUL2	-0.33
PIGL	-0.33
RNF167	-0.33
MLX	-0.33
RANGRF	-0.33
WSB1	-0.33
SUPT6H	-0.33
PHF12	-0.33
SLAIN2	-0.33
INPP4B	-0.33
CLCN3	-0.33
TBC1D19	-0.33
GLRB	-0.33
UFSP2	-0.33
HTATIP2	-0.33
TMEM109	-0.33
NECTIN1	-0.33
ACCS	-0.33
AMBRA1	-0.33
AIP	-0.33
CHKA	-0.33
P3H3	-0.33
LIN7A	-0.33
ACSS3	-0.33
ELK3	-0.33
ARPC3	-0.33
MANSC1	-0.33
CDKN1B	-0.33
GPRC5D	-0.33
NAA25	-0.33
EIF2B1	-0.33
CAND1	-0.33
SPSB2	-0.33
MCM9	-0.33
HDDC2	-0.33
HINT3	-0.33
FBXO5	-0.33
MAPK14	-0.33
CILK1	-0.33
GPR63	-0.33
FBXL4	-0.33
VNN1	-0.33
TRIM38	-0.33
C6orf118	-0.33
PPP2R5D	-0.33
CUL9	-0.33
TMEM30A	-0.33
SLC29A1	-0.33
SEMA5A	-0.33
KIF20A	-0.33
MRPS27	-0.33
FAF2	-0.33
CLK4	-0.33
THG1L	-0.33
TTC1	-0.33
FAM172A	-0.33
LNPEP	-0.33
SKP1	-0.33
PPP2CA	-0.33
SEC24A	-0.33
TXNDC15	-0.33
TTC33	-0.33
WWC1	-0.33
SMAD5	-0.33
ZNF346	-0.33
USP4	-0.33
GNAI2	-0.33
NPRL2	-0.33
C3orf14	-0.33
FXR1	-0.33
SCAP	-0.33
MRPL3	-0.33
VIPR1	-0.33
CLCN2	-0.33
ADAM23	-0.33
ACVR1	-0.33
TANC1	-0.33
PSMD14	-0.33
IFIH1	-0.33
LOXL3	-0.33
ELMOD3	-0.33
WNT6	-0.33
BIRC6	-0.33
RAB3GAP1	-0.33
PLEKHA3	-0.33
PARD3B	-0.33
BCL9	-0.33
AMPD2	-0.33
CAPZA1	-0.33
RNF19B	-0.33
ARHGEF2	-0.33
LAMTOR2	-0.33
MAD2L2	-0.33
PRDM2	-0.33
ZBTB17	-0.33
TTF2	-0.33
